id,text,sentiment,
11884,ysto saloo media madrchor tytikae ledies boldaen,Abusive,
19318,thukka maachikney democracy 😠😟,Abusive,
14636,phuyal sir bolena tv show banda garnu porx bhanda ta chupalaga,Abusive,
23069,"nepal kahile develop hune yasto kasingar haru ta chhta •best wishes prem geet3,dipendra rokka ghin lagyo tero para",Abusive,
25368,"jack of all trades master of none wala type ko engineer raichan bro. rap nai gara bro, aile samma thik thikai vako ktm lai barbaad gardinne vo bro le.",Non Abusive,
16916,syal budo le answer dina sakena,Abusive,
21390,shashwat sharma lai layera sodnu parne vo chore fata pm lai,Abusive,
13148,aba herinna yo show 😡,Non Abusive,
19648,yo swastima k pgl ho,Abusive,
24683,yesta yesta pade guff harulai trending ma puryau ani hunxw hamro desko pragati.,Abusive,
11005,yo paagalni laai kasle interview lieko ho absolutely idiot,Abusive,
15775,dhama chor jasto xa y'all,Abusive,
22301,"sakxau vani rajinama deu, timle kehi garna sakdainau kursi maa basera. aba younger le palo pauna paryo, we need prabhat, sandesh. very dirty politics in our country 🙄😏🤧",Non Abusive,
13776,e desh drohi haru ko lahor tanu pacha suprim curt le,Abusive,
31728,koshi ko dr. sabai laita vandina tara 1/2 dr . chai thik xaina pet dukhera gako chhatiko x ray garna lauxn esto x sarkhari hospital,Non Abusive,
17578,yo sali boksi budi laii pani ekdin yestaii garne xa,Abusive,
10302,download hune banana mu****ji sudhooo,Abusive,
26860,stander milena hu dr k c ra bista sanga urusha regmi ko,Non Abusive,
16721,#NAME?,Non Abusive,
26930,anmol bhatta so jealous of ekaraj neupane 3 year ko experience le 30 year ko experience lai harai diyo tei vayer khate ankit bhatta ra tesko khate chora anmol bhatta,Non Abusive,
26076,yo damala ni film flop garna mildaixa 😠,Non Abusive,
10462,hahaha ko ho yo yato hahahahaha side lagaunu,Non Abusive,
12303,tero bau kuyeko buda aakar,Abusive,
24078,alina ji le yo show ko respect nagareko dekhe maile discipline ma nabseko dekha +judge haru ki comment nasunera sedhai gayara sit ma basne ani,Non Abusive,
26824,yesko kura sunera purai doubt lagxa,Non Abusive,
19896,ko ho tyo papi family?? yesto chai kasailai nagarnu papi haru. please be strong do whatever you feel better and keep moving 👏,Abusive,
